,year,country,sex,age,suicides_no,Population,GDPyear,suicides_100k,latitude,longitude
15170,2003,Guatemala,female,35-54 years,11,1008123,21917706491.0,1.09,15.783470999999999,-90.23075899999999
15172,2003,Guatemala,female,55-74 years,4,429408,21917706491.0,0.93,15.783470999999999,-90.23075899999999
15173,2003,Guatemala,female,75+ years,0,97342,21917706491.0,0.0,15.783470999999999,-90.23075899999999
15177,2003,Guatemala,male,05-14 years,6,1729518,21917706491.0,0.35,15.783470999999999,-90.23075899999999
15174,2003,Guatemala,male,15-24 years,67,1285345,21917706491.0,5.21,15.783470999999999,-90.23075899999999
15175,2003,Guatemala,male,25-34 years,51,801449,21917706491.0,6.36,15.783470999999999,-90.23075899999999
15176,2003,Guatemala,male,35-54 years,51,850642,21917706491.0,6.0,15.783470999999999,-90.23075899999999
15178,2003,Guatemala,male,55-74 years,17,382491,21917706491.0,4.44,15.783470999999999,-90.23075899999999
15179,2003,Guatemala,male,75+ years,8,80652,21917706491.0,9.92,15.783470999999999,-90.23075899999999
15207,2003,Iceland,female,05-14 years,0,21939,11316441660.0,0.0,64.96305100000001,-19.020835
15204,2003,Iceland,female,15-24 years,0,21105,11316441660.0,0.0,64.96305100000001,-19.020835
15205,2003,Iceland,female,25-34 years,1,20281,11316441660.0,4.93,64.96305100000001,-19.020835
15206,2003,Iceland,female,35-54 years,1,39836,11316441660.0,2.51,64.96305100000001,-19.020835
15208,2003,Iceland,female,55-74 years,4,22054,11316441660.0,18.14,64.96305100000001,-19.020835
15209,2003,Iceland,female,75+ years,0,9063,11316441660.0,0.0,64.96305100000001,-19.020835
15213,2003,Iceland,male,05-14 years,0,22892,11316441660.0,0.0,64.96305100000001,-19.020835
15210,2003,Iceland,male,15-24 years,5,21857,11316441660.0,22.88,64.96305100000001,-19.020835
15211,2003,Iceland,male,25-34 years,1,20791,11316441660.0,4.81,64.96305100000001,-19.020835
15212,2003,Iceland,male,35-54 years,8,40516,11316441660.0,19.75,64.96305100000001,-19.020835
15214,2003,Iceland,male,55-74 years,6,21464,11316441660.0,27.95,64.96305100000001,-19.020835
15215,2003,Iceland,male,75+ years,0,6532,11316441660.0,0.0,64.96305100000001,-19.020835
15219,2003,Ireland,female,05-14 years,2,267103,164285112867.0,0.75,53.41291,-8.243889999999999
15216,2003,Ireland,female,15-24 years,15,317275,164285112867.0,4.73,53.41291,-8.243889999999999
15217,2003,Ireland,female,25-34 years,16,315513,164285112867.0,5.07,53.41291,-8.243889999999999
15218,2003,Ireland,female,35-54 years,37,530989,164285112867.0,6.97,53.41291,-8.243889999999999
15220,2003,Ireland,female,55-74 years,21,311239,164285112867.0,6.75,53.41291,-8.243889999999999
15221,2003,Ireland,female,75+ years,5,120328,164285112867.0,4.16,53.41291,-8.243889999999999
15225,2003,Ireland,male,05-14 years,2,281881,164285112867.0,0.71,53.41291,-8.243889999999999
15222,2003,Ireland,male,15-24 years,93,325589,164285112867.0,28.56,53.41291,-8.243889999999999
15223,2003,Ireland,male,25-34 years,61,316763,164285112867.0,19.26,53.41291,-8.243889999999999
15224,2003,Ireland,male,35-54 years,135,529155,164285112867.0,25.51,53.41291,-8.243889999999999
15226,2003,Ireland,male,55-74 years,57,304682,164285112867.0,18.71,53.41291,-8.243889999999999
15227,2003,Ireland,male,75+ years,10,73562,164285112867.0,13.59,53.41291,-8.243889999999999
15231,2003,Israel,female,05-14 years,0,589505,126864966909.0,0.0,31.046051000000002,34.851612
15228,2003,Israel,female,15-24 years,5,544294,126864966909.0,0.92,31.046051000000002,34.851612
15229,2003,Israel,female,25-34 years,8,503837,126864966909.0,1.59,31.046051000000002,34.851612
15230,2003,Israel,female,35-54 years,25,779552,126864966909.0,3.21,31.046051000000002,34.851612
15232,2003,Israel,female,55-74 years,24,457426,126864966909.0,5.25,31.046051000000002,34.851612
15233,2003,Israel,female,75+ years,10,178813,126864966909.0,5.59,31.046051000000002,34.851612
15237,2003,Israel,male,05-14 years,3,620511,126864966909.0,0.48,31.046051000000002,34.851612
15234,2003,Israel,male,15-24 years,62,566251,126864966909.0,10.95,31.046051000000002,34.851612
15235,2003,Israel,male,25-34 years,57,509736,126864966909.0,11.18,31.046051000000002,34.851612
15236,2003,Israel,male,35-54 years,125,739587,126864966909.0,16.9,31.046051000000002,34.851612
15238,2003,Israel,male,55-74 years,70,393481,126864966909.0,17.79,31.046051000000002,34.851612
15239,2003,Israel,male,75+ years,28,120134,126864966909.0,23.31,31.046051000000002,34.851612
15243,2003,Italy,female,05-14 years,4,2674128,1569649661400.0,0.15,41.87194,12.56738
15240,2003,Italy,female,15-24 years,39,3009624,1569649661400.0,1.3,41.87194,12.56738
15241,2003,Italy,female,25-34 years,108,4280768,1569649661400.0,2.52,41.87194,12.56738
15242,2003,Italy,female,35-54 years,306,8361833,1569649661400.0,3.66,41.87194,12.56738
15244,2003,Italy,female,55-74 years,340,6855153,1569649661400.0,4.96,41.87194,12.56738
15245,2003,Italy,female,75+ years,200,3206881,1569649661400.0,6.24,41.87194,12.56738
15249,2003,Italy,male,05-14 years,6,2828021,1569649661400.0,0.21,41.87194,12.56738
15246,2003,Italy,male,15-24 years,194,3148851,1569649661400.0,6.16,41.87194,12.56738
15247,2003,Italy,male,25-34 years,411,4369896,1569649661400.0,9.41,41.87194,12.56738
15248,2003,Italy,male,35-54 years,951,8301977,1569649661400.0,11.46,41.87194,12.56738
15250,2003,Italy,male,55-74 years,904,6071347,1569649661400.0,14.89,41.87194,12.56738
15251,2003,Italy,male,75+ years,612,1829091,1569649661400.0,33.46,41.87194,12.56738
15267,2003,Japan,female,05-14 years,33,5858000,4445658071222.0,0.56,36.204824,138.252924
15264,2003,Japan,female,15-24 years,556,7089000,4445658071222.0,7.84,36.204824,138.252924
15265,2003,Japan,female,25-34 years,1132,9059000,4445658071222.0,12.5,36.204824,138.252924
15266,2003,Japan,female,35-54 years,2227,16840000,4445658071222.0,13.22,36.204824,138.252924
15268,2003,Japan,female,55-74 years,3100,16200000,4445658071222.0,19.14,36.204824,138.252924
15269,2003,Japan,female,75+ years,1643,6676000,4445658071222.0,24.61,36.204824,138.252924
15273,2003,Japan,male,05-14 years,32,6151000,4445658071222.0,0.52,36.204824,138.252924
15270,2003,Japan,male,15-24 years,1158,7483000,4445658071222.0,15.48,36.204824,138.252924
15271,2003,Japan,male,25-34 years,2910,9349000,4445658071222.0,31.13,36.204824,138.252924
15272,2003,Japan,male,35-54 years,8948,16966000,4445658071222.0,52.74,36.204824,138.252924
15274,2003,Japan,male,55-74 years,8409,14889000,4445658071222.0,56.48,36.204824,138.252924
15275,2003,Japan,male,75+ years,1733,3835000,4445658071222.0,45.19,36.204824,138.252924
15339,2003,Luxembourg,female,05-14 years,0,27721,29557325056.0,0.0,49.815273,6.129583
15336,2003,Luxembourg,female,15-24 years,1,25512,29557325056.0,3.92,49.815273,6.129583
15337,2003,Luxembourg,female,25-34 years,1,33475,29557325056.0,2.99,49.815273,6.129583
15338,2003,Luxembourg,female,35-54 years,4,68468,29557325056.0,5.84,49.815273,6.129583
15340,2003,Luxembourg,female,55-74 years,2,41982,29557325056.0,4.76,49.815273,6.129583
15341,2003,Luxembourg,female,75+ years,0,18062,29557325056.0,0.0,49.815273,6.129583
15345,2003,Luxembourg,male,05-14 years,1,29105,29557325056.0,3.44,49.815273,6.129583
15342,2003,Luxembourg,male,15-24 years,6,26415,29557325056.0,22.71,49.815273,6.129583
15343,2003,Luxembourg,male,25-34 years,5,33450,29557325056.0,14.95,49.815273,6.129583
15344,2003,Luxembourg,male,35-54 years,14,70996,29557325056.0,19.72,49.815273,6.129583
15346,2003,Luxembourg,male,55-74 years,8,39335,29557325056.0,20.34,49.815273,6.129583
15347,2003,Luxembourg,male,75+ years,6,9133,29557325056.0,65.7,49.815273,6.129583
15363,2003,Malta,female,05-14 years,0,25606,5456583589.0,0.0,35.937496,14.375416
15360,2003,Malta,female,15-24 years,0,28425,5456583589.0,0.0,35.937496,14.375416
15361,2003,Malta,female,25-34 years,1,26726,5456583589.0,3.74,35.937496,14.375416
15362,2003,Malta,female,35-54 years,1,56431,5456583589.0,1.77,35.937496,14.375416
15364,2003,Malta,female,55-74 years,1,40926,5456583589.0,2.44,35.937496,14.375416
15365,2003,Malta,female,75+ years,0,12812,5456583589.0,0.0,35.937496,14.375416
15369,2003,Malta,male,05-14 years,0,27223,5456583589.0,0.0,35.937496,14.375416
15366,2003,Malta,male,15-24 years,1,30207,5456583589.0,3.31,35.937496,14.375416
15367,2003,Malta,male,25-34 years,6,28256,5456583589.0,21.23,35.937496,14.375416
15368,2003,Malta,male,35-54 years,4,57171,5456583589.0,7.0,35.937496,14.375416
15370,2003,Malta,male,55-74 years,4,35758,5456583589.0,11.19,35.937496,14.375416
15371,2003,Malta,male,75+ years,2,8244,5456583589.0,24.26,35.937496,14.375416
15375,2003,Mauritius,female,05-14 years,0,100012,5609831328.0,0.0,-20.348404000000002,57.552152
15372,2003,Mauritius,female,15-24 years,8,97740,5609831328.0,8.18,-20.348404000000002,57.552152
15373,2003,Mauritius,female,25-34 years,5,95550,5609831328.0,5.23,-20.348404000000002,57.552152
15374,2003,Mauritius,female,35-54 years,8,172697,5609831328.0,4.63,-20.348404000000002,57.552152
15376,2003,Mauritius,female,55-74 years,3,68440,5609831328.0,4.38,-20.348404000000002,57.552152
15377,2003,Mauritius,female,75+ years,0,18660,5609831328.0,0.0,-20.348404000000002,57.552152
15381,2003,Mauritius,male,05-14 years,1,102552,5609831328.0,0.98,-20.348404000000002,57.552152
15378,2003,Mauritius,male,15-24 years,6,99166,5609831328.0,6.05,-20.348404000000002,57.552152
15379,2003,Mauritius,male,25-34 years,20,94542,5609831328.0,21.15,-20.348404000000002,57.552152
15380,2003,Mauritius,male,35-54 years,24,173619,5609831328.0,13.82,-20.348404000000002,57.552152
15382,2003,Mauritius,male,55-74 years,12,58071,5609831328.0,20.66,-20.348404000000002,57.552152
15383,2003,Mauritius,male,75+ years,1,11185,5609831328.0,8.94,-20.348404000000002,57.552152
15387,2003,Mexico,female,05-14 years,52,11340331,729336319677.0,0.46,23.634501,-102.552784
15384,2003,Mexico,female,15-24 years,280,10156204,729336319677.0,2.76,23.634501,-102.552784
15385,2003,Mexico,female,25-34 years,125,9280350,729336319677.0,1.35,23.634501,-102.552784
15386,2003,Mexico,female,35-54 years,171,10765671,729336319677.0,1.59,23.634501,-102.552784
15388,2003,Mexico,female,55-74 years,55,4489997,729336319677.0,1.22,23.634501,-102.552784
15389,2003,Mexico,female,75+ years,11,1276432,729336319677.0,0.86,23.634501,-102.552784
15393,2003,Mexico,male,05-14 years,91,11723507,729336319677.0,0.78,23.634501,-102.552784
15390,2003,Mexico,male,15-24 years,953,10408446,729336319677.0,9.16,23.634501,-102.552784
15391,2003,Mexico,male,25-34 years,911,9114537,729336319677.0,10.0,23.634501,-102.552784
15392,2003,Mexico,male,35-54 years,885,10201542,729336319677.0,8.68,23.634501,-102.552784
15394,2003,Mexico,male,55-74 years,385,4100347,729336319677.0,9.39,23.634501,-102.552784
15395,2003,Mexico,male,75+ years,151,901495,729336319677.0,16.75,23.634501,-102.552784
15411,2003,Netherlands,female,05-14 years,1,972603,571863431151.0,0.1,52.132633,5.291266
15408,2003,Netherlands,female,15-24 years,29,950780,571863431151.0,3.05,52.132633,5.291266
15409,2003,Netherlands,female,25-34 years,48,1137043,571863431151.0,4.22,52.132633,5.291266
15410,2003,Netherlands,female,35-54 years,193,2416242,571863431151.0,7.99,52.132633,5.291266
15412,2003,Netherlands,female,55-74 years,142,1570271,571863431151.0,9.04,52.132633,5.291266
15413,2003,Netherlands,female,75+ years,71,648808,571863431151.0,10.94,52.132633,5.291266
15417,2003,Netherlands,male,05-14 years,2,1018379,571863431151.0,0.2,52.132633,5.291266
15414,2003,Netherlands,male,15-24 years,68,985449,571863431151.0,6.9,52.132633,5.291266
15415,2003,Netherlands,male,25-34 years,165,1157639,571863431151.0,14.25,52.132633,5.291266
15416,2003,Netherlands,male,35-54 years,459,2483688,571863431151.0,18.48,52.132633,5.291266
15418,2003,Netherlands,male,55-74 years,246,1504780,571863431151.0,16.35,52.132633,5.291266
15419,2003,Netherlands,male,75+ years,78,357715,571863431151.0,21.81,52.132633,5.291266
15423,2003,New Zealand,female,05-14 years,1,293820,88250885550.0,0.34,-40.900557,174.88597099999998
15420,2003,New Zealand,female,15-24 years,31,281350,88250885550.0,11.02,-40.900557,174.88597099999998
15421,2003,New Zealand,female,25-34 years,22,281770,88250885550.0,7.81,-40.900557,174.88597099999998
15422,2003,New Zealand,female,35-54 years,56,583610,88250885550.0,9.6,-40.900557,174.88597099999998
15424,2003,New Zealand,female,55-74 years,20,327420,88250885550.0,6.11,-40.900557,174.88597099999998
15425,2003,New Zealand,female,75+ years,11,133600,88250885550.0,8.23,-40.900557,174.88597099999998
15429,2003,New Zealand,male,05-14 years,4,310850,88250885550.0,1.29,-40.900557,174.88597099999998
15426,2003,New Zealand,male,15-24 years,66,292920,88250885550.0,22.53,-40.900557,174.88597099999998
15427,2003,New Zealand,male,25-34 years,80,264090,88250885550.0,30.29,-40.900557,174.88597099999998
15428,2003,New Zealand,male,35-54 years,143,558950,88250885550.0,25.58,-40.900557,174.88597099999998
15430,2003,New Zealand,male,55-74 years,58,314200,88250885550.0,18.46,-40.900557,174.88597099999998
15431,2003,New Zealand,male,75+ years,27,86840,88250885550.0,31.09,-40.900557,174.88597099999998
15435,2003,Norway,female,05-14 years,3,300868,228752436372.0,1.0,60.472024,8.468946
15432,2003,Norway,female,15-24 years,17,269608,228752436372.0,6.31,60.472024,8.468946
15433,2003,Norway,female,25-34 years,22,321320,228752436372.0,6.85,60.472024,8.468946
15434,2003,Norway,female,35-54 years,45,629033,228752436372.0,7.15,60.472024,8.468946
15436,2003,Norway,female,55-74 years,30,418033,228752436372.0,7.18,60.472024,8.468946
15437,2003,Norway,female,75+ years,11,220907,228752436372.0,4.98,60.472024,8.468946
15441,2003,Norway,male,05-14 years,6,317824,228752436372.0,1.89,60.472024,8.468946
15438,2003,Norway,male,15-24 years,58,280898,228752436372.0,20.65,60.472024,8.468946
15439,2003,Norway,male,25-34 years,70,328978,228752436372.0,21.28,60.472024,8.468946
15440,2003,Norway,male,35-54 years,134,654050,228752436372.0,20.49,60.472024,8.468946
15442,2003,Norway,male,55-74 years,79,400293,228752436372.0,19.74,60.472024,8.468946
15443,2003,Norway,male,75+ years,27,131312,228752436372.0,20.56,60.472024,8.468946
15507,2003,Puerto Rico,female,05-14 years,0,291486,74827400000.0,0.0,18.220833,-66.590149
15504,2003,Puerto Rico,female,15-24 years,5,298065,74827400000.0,1.68,18.220833,-66.590149
15505,2003,Puerto Rico,female,25-34 years,3,275189,74827400000.0,1.09,18.220833,-66.590149
15506,2003,Puerto Rico,female,35-54 years,11,519735,74827400000.0,2.12,18.220833,-66.590149
15508,2003,Puerto Rico,female,55-74 years,3,335704,74827400000.0,0.89,18.220833,-66.590149
15509,2003,Puerto Rico,female,75+ years,0,116641,74827400000.0,0.0,18.220833,-66.590149
15513,2003,Puerto Rico,male,05-14 years,1,304000,74827400000.0,0.33,18.220833,-66.590149
15510,2003,Puerto Rico,male,15-24 years,34,302523,74827400000.0,11.24,18.220833,-66.590149
15511,2003,Puerto Rico,male,25-34 years,29,261935,74827400000.0,11.07,18.220833,-66.590149
15512,2003,Puerto Rico,male,35-54 years,102,450073,74827400000.0,22.66,18.220833,-66.590149
15514,2003,Puerto Rico,male,55-74 years,51,280807,74827400000.0,18.16,18.220833,-66.590149
15515,2003,Puerto Rico,male,75+ years,23,82868,74827400000.0,27.75,18.220833,-66.590149
15519,2003,Republic of Korea,female,05-14 years,18,3221172,680520724062.0,0.56,35.907757000000004,127.766922
15516,2003,Republic of Korea,female,15-24 years,316,3526768,680520724062.0,8.96,35.907757000000004,127.766922
15517,2003,Republic of Korea,female,25-34 years,503,4221700,680520724062.0,11.91,35.907757000000004,127.766922
15518,2003,Republic of Korea,female,35-54 years,1091,7273425,680520724062.0,15.0,35.907757000000004,127.766922
15520,2003,Republic of Korea,female,55-74 years,855,3624827,680520724062.0,23.59,35.907757000000004,127.766922
15521,2003,Republic of Korea,female,75+ years,601,843447,680520724062.0,71.26,35.907757000000004,127.766922
15525,2003,Republic of Korea,male,05-14 years,15,3620823,680520724062.0,0.41,35.907757000000004,127.766922
15522,2003,Republic of Korea,male,15-24 years,495,3769703,680520724062.0,13.13,35.907757000000004,127.766922
15523,2003,Republic of Korea,male,25-34 years,1086,4394597,680520724062.0,24.71,35.907757000000004,127.766922
15524,2003,Republic of Korea,male,35-54 years,3005,7532153,680520724062.0,39.9,35.907757000000004,127.766922
15526,2003,Republic of Korea,male,55-74 years,2239,3032808,680520724062.0,73.83,35.907757000000004,127.766922
15527,2003,Republic of Korea,male,75+ years,674,394465,680520724062.0,170.86,35.907757000000004,127.766922
15531,2003,Romania,female,05-14 years,8,1248839,59867801205.0,0.64,45.943160999999996,24.96676
15528,2003,Romania,female,15-24 years,45,1654756,59867801205.0,2.72,45.943160999999996,24.96676
15529,2003,Romania,female,25-34 years,36,1733161,59867801205.0,2.08,45.943160999999996,24.96676
15530,2003,Romania,female,35-54 years,188,2993019,59867801205.0,6.28,45.943160999999996,24.96676
15532,2003,Romania,female,55-74 years,176,2280751,59867801205.0,7.72,45.943160999999996,24.96676
15533,2003,Romania,female,75+ years,55,692956,59867801205.0,7.94,45.943160999999996,24.96676
15537,2003,Romania,male,05-14 years,22,1307126,59867801205.0,1.68,45.943160999999996,24.96676
15534,2003,Romania,male,15-24 years,157,1733591,59867801205.0,9.06,45.943160999999996,24.96676
15535,2003,Romania,male,25-34 years,349,1803090,59867801205.0,19.36,45.943160999999996,24.96676
15536,2003,Romania,male,35-54 years,1069,2925320,59867801205.0,36.54,45.943160999999996,24.96676
15538,2003,Romania,male,55-74 years,662,1863111,59867801205.0,35.53,45.943160999999996,24.96676
15539,2003,Romania,male,75+ years,127,421121,59867801205.0,30.16,45.943160999999996,24.96676
15555,2003,Saint Lucia,female,05-14 years,0,16898,823837141.0,0.0,13.909444,-60.97889300000001
15552,2003,Saint Lucia,female,15-24 years,2,16282,823837141.0,12.28,13.909444,-60.97889300000001
15553,2003,Saint Lucia,female,25-34 years,0,13004,823837141.0,0.0,13.909444,-60.97889300000001
15554,2003,Saint Lucia,female,35-54 years,1,18027,823837141.0,5.55,13.909444,-60.97889300000001
15556,2003,Saint Lucia,female,55-74 years,0,7937,823837141.0,0.0,13.909444,-60.97889300000001
15557,2003,Saint Lucia,female,75+ years,1,3171,823837141.0,31.54,13.909444,-60.97889300000001
15561,2003,Saint Lucia,male,05-14 years,0,16998,823837141.0,0.0,13.909444,-60.97889300000001
15558,2003,Saint Lucia,male,15-24 years,1,15746,823837141.0,6.35,13.909444,-60.97889300000001
15559,2003,Saint Lucia,male,25-34 years,2,12157,823837141.0,16.45,13.909444,-60.97889300000001
15560,2003,Saint Lucia,male,35-54 years,1,17412,823837141.0,5.74,13.909444,-60.97889300000001
15562,2003,Saint Lucia,male,55-74 years,1,7068,823837141.0,14.15,13.909444,-60.97889300000001
15563,2003,Saint Lucia,male,75+ years,1,2427,823837141.0,41.2,13.909444,-60.97889300000001
15603,2003,Singapore,female,05-14 years,2,248900,97001377569.0,0.8,1.352083,103.819836
15600,2003,Singapore,female,15-24 years,13,214300,97001377569.0,6.07,1.352083,103.819836
15601,2003,Singapore,female,25-34 years,20,286600,97001377569.0,6.98,1.352083,103.819836
15602,2003,Singapore,female,35-54 years,42,586600,97001377569.0,7.16,1.352083,103.819836
15604,2003,Singapore,female,55-74 years,26,232800,97001377569.0,11.17,1.352083,103.819836
15605,2003,Singapore,female,75+ years,16,57000,97001377569.0,28.07,1.352083,103.819836
15609,2003,Singapore,male,05-14 years,2,264100,97001377569.0,0.76,1.352083,103.819836
15606,2003,Singapore,male,15-24 years,24,221500,97001377569.0,10.84,1.352083,103.819836
15607,2003,Singapore,male,25-34 years,38,263800,97001377569.0,14.4,1.352083,103.819836
15608,2003,Singapore,male,35-54 years,76,592400,97001377569.0,12.83,1.352083,103.819836
15610,2003,Singapore,male,55-74 years,39,218800,97001377569.0,17.82,1.352083,103.819836
15611,2003,Singapore,male,75+ years,22,39400,97001377569.0,55.84,1.352083,103.819836
15651,2003,Spain,female,05-14 years,1,1967167,906853273138.0,0.05,40.463667,-3.7492199999999998
15648,2003,Spain,female,15-24 years,56,2663400,906853273138.0,2.1,40.463667,-3.7492199999999998
15649,2003,Spain,female,25-34 years,93,3492577,906853273138.0,2.66,40.463667,-3.7492199999999998
15650,2003,Spain,female,35-54 years,266,5948492,906853273138.0,4.47,40.463667,-3.7492199999999998
15652,2003,Spain,female,55-74 years,250,4309104,906853273138.0,5.8,40.463667,-3.7492199999999998
15653,2003,Spain,female,75+ years,162,1997884,906853273138.0,8.11,40.463667,-3.7492199999999998
15657,2003,Spain,male,05-14 years,2,2075819,906853273138.0,0.1,40.463667,-3.7492199999999998
15654,2003,Spain,male,15-24 years,191,2795116,906853273138.0,6.83,40.463667,-3.7492199999999998
15655,2003,Spain,male,25-34 years,459,3667417,906853273138.0,12.52,40.463667,-3.7492199999999998
15656,2003,Spain,male,35-54 years,799,5955985,906853273138.0,13.42,40.463667,-3.7492199999999998
15658,2003,Spain,male,55-74 years,676,3855429,906853273138.0,17.53,40.463667,-3.7492199999999998
15659,2003,Spain,male,75+ years,523,1219166,906853273138.0,42.9,40.463667,-3.7492199999999998
15675,2003,Suriname,female,05-14 years,0,49482,1271196078.0,0.0,3.9193050000000005,-56.02778299999999
15672,2003,Suriname,female,15-24 years,3,42340,1271196078.0,7.09,3.9193050000000005,-56.02778299999999
15673,2003,Suriname,female,25-34 years,6,38701,1271196078.0,15.5,3.9193050000000005,-56.02778299999999
15674,2003,Suriname,female,35-54 years,7,56259,1271196078.0,12.44,3.9193050000000005,-56.02778299999999
15676,2003,Suriname,female,55-74 years,3,24989,1271196078.0,12.01,3.9193050000000005,-56.02778299999999
15677,2003,Suriname,female,75+ years,0,5275,1271196078.0,0.0,3.9193050000000005,-56.02778299999999
15681,2003,Suriname,male,05-14 years,2,51886,1271196078.0,3.85,3.9193050000000005,-56.02778299999999
15678,2003,Suriname,male,15-24 years,7,43597,1271196078.0,16.06,3.9193050000000005,-56.02778299999999
15679,2003,Suriname,male,25-34 years,20,39999,1271196078.0,50.0,3.9193050000000005,-56.02778299999999
15680,2003,Suriname,male,35-54 years,15,57340,1271196078.0,26.16,3.9193050000000005,-56.02778299999999
15682,2003,Suriname,male,55-74 years,12,21925,1271196078.0,54.73,3.9193050000000005,-56.02778299999999
15683,2003,Suriname,male,75+ years,2,4153,1271196078.0,48.16,3.9193050000000005,-56.02778299999999
15687,2003,Sweden,female,05-14 years,2,554143,331108912605.0,0.36,60.128161,18.643501
15684,2003,Sweden,female,15-24 years,35,518172,331108912605.0,6.75,60.128161,18.643501
15685,2003,Sweden,female,25-34 years,58,576009,331108912605.0,10.07,60.128161,18.643501
15686,2003,Sweden,female,35-54 years,99,1201468,331108912605.0,8.24,60.128161,18.643501
15688,2003,Sweden,female,55-74 years,92,957995,331108912605.0,9.6,60.128161,18.643501
15689,2003,Sweden,female,75+ years,50,486063,331108912605.0,10.29,60.128161,18.643501
15693,2003,Sweden,male,05-14 years,1,583622,331108912605.0,0.17,60.128161,18.643501
15690,2003,Sweden,male,15-24 years,60,543102,331108912605.0,11.05,60.128161,18.643501
15691,2003,Sweden,male,25-34 years,85,596698,331108912605.0,14.25,60.128161,18.643501
15692,2003,Sweden,male,35-54 years,300,1242898,331108912605.0,24.14,60.128161,18.643501
15694,2003,Sweden,male,55-74 years,225,922446,331108912605.0,24.39,60.128161,18.643501
15695,2003,Sweden,male,75+ years,105,307923,331108912605.0,34.1,60.128161,18.643501
15711,2003,Thailand,female,05-14 years,16,4897350,152280653544.0,0.33,15.870032,100.992541
15708,2003,Thailand,female,15-24 years,177,5249392,152280653544.0,3.37,15.870032,100.992541
15709,2003,Thailand,female,25-34 years,248,5596786,152280653544.0,4.43,15.870032,100.992541
15710,2003,Thailand,female,35-54 years,394,9801993,152280653544.0,4.02,15.870032,100.992541
15712,2003,Thailand,female,55-74 years,183,4180149,152280653544.0,4.38,15.870032,100.992541
15713,2003,Thailand,female,75+ years,41,894196,152280653544.0,4.59,15.870032,100.992541
15717,2003,Thailand,male,05-14 years,33,5101537,152280653544.0,0.65,15.870032,100.992541
15714,2003,Thailand,male,15-24 years,579,5371988,152280653544.0,10.78,15.870032,100.992541
15715,2003,Thailand,male,25-34 years,912,5433433,152280653544.0,16.78,15.870032,100.992541
15716,2003,Thailand,male,35-54 years,1277,9254313,152280653544.0,13.8,15.870032,100.992541
15718,2003,Thailand,male,55-74 years,531,3697698,152280653544.0,14.36,15.870032,100.992541
15719,2003,Thailand,male,75+ years,93,680116,152280653544.0,13.67,15.870032,100.992541
15735,2003,Turkmenistan,female,05-14 years,2,547801,5977560877.0,0.37,38.969719,59.556278000000006
15732,2003,Turkmenistan,female,15-24 years,38,481201,5977560877.0,7.9,38.969719,59.556278000000006
15733,2003,Turkmenistan,female,25-34 years,21,364978,5977560877.0,5.75,38.969719,59.556278000000006
15734,2003,Turkmenistan,female,35-54 years,15,517334,5977560877.0,2.9,38.969719,59.556278000000006
15736,2003,Turkmenistan,female,55-74 years,3,171164,5977560877.0,1.75,38.969719,59.556278000000006
15737,2003,Turkmenistan,female,75+ years,3,46460,5977560877.0,6.46,38.969719,59.556278000000006
15741,2003,Turkmenistan,male,05-14 years,3,560043,5977560877.0,0.54,38.969719,59.556278000000006
15738,2003,Turkmenistan,male,15-24 years,81,485360,5977560877.0,16.69,38.969719,59.556278000000006
15739,2003,Turkmenistan,male,25-34 years,101,365893,5977560877.0,27.6,38.969719,59.556278000000006
15740,2003,Turkmenistan,male,35-54 years,97,469877,5977560877.0,20.64,38.969719,59.556278000000006
15742,2003,Turkmenistan,male,55-74 years,11,144973,5977560877.0,7.59,38.969719,59.556278000000006
15743,2003,Turkmenistan,male,75+ years,2,22656,5977560877.0,8.83,38.969719,59.556278000000006
15747,2003,Ukraine,female,05-14 years,17,2668337,50132953288.0,0.64,48.379433,31.16558
15744,2003,Ukraine,female,15-24 years,131,3659937,50132953288.0,3.58,48.379433,31.16558
15745,2003,Ukraine,female,25-34 years,214,3341089,50132953288.0,6.41,48.379433,31.16558
15746,2003,Ukraine,female,35-54 years,669,7305670,50132953288.0,9.16,48.379433,31.16558
15748,2003,Ukraine,female,55-74 years,738,5689228,50132953288.0,12.97,48.379433,31.16558
15749,2003,Ukraine,female,75+ years,381,2008320,50132953288.0,18.97,48.379433,31.16558
15753,2003,Ukraine,male,05-14 years,50,2804341,50132953288.0,1.78,48.379433,31.16558
15750,2003,Ukraine,male,15-24 years,994,3808250,50132953288.0,26.1,48.379433,31.16558
15751,2003,Ukraine,male,25-34 years,1628,3316494,50132953288.0,49.09,48.379433,31.16558
15752,2003,Ukraine,male,35-54 years,4312,6534189,50132953288.0,65.99,48.379433,31.16558
15754,2003,Ukraine,male,55-74 years,2648,3837902,50132953288.0,69.0,48.379433,31.16558
15755,2003,Ukraine,male,75+ years,531,723626,50132953288.0,73.38,48.379433,31.16558
15759,2003,United Kingdom,female,05-14 years,2,3677964,2038395102041.0,0.05,55.378051,-3.435973
15756,2003,United Kingdom,female,15-24 years,91,3718206,2038395102041.0,2.45,55.378051,-3.435973
15757,2003,United Kingdom,female,25-34 years,144,4059897,2038395102041.0,3.55,55.378051,-3.435973
15758,2003,United Kingdom,female,35-54 years,381,8432837,2038395102041.0,4.52,55.378051,-3.435973
15760,2003,United Kingdom,female,55-74 years,207,6085995,2038395102041.0,3.4,55.378051,-3.435973
